customer_id,full_name,email,phone,signup_date,city,age,status
57,Customer 57,user57@mail.com,9800000057,2024-11-15,Unknown,,unknown
58,Customer 58,user58@mail.com,+91-9800000058,2025-01-29,Unknown,,active
59,Unknown Customer,user59@mail.com,,2024-10-06,Bengaluru,,inactive
61,customer 61,unknown@email.com,9800000061,2025-01-02,Bengaluru,,inactive
62,Unknown Customer,user62@mail.com,,2024-03-03,Bengaluru,,active
63,Customer 63,unknown@email.com,,2024-08-02,Mumbai,,inactive
64,Unknown Customer,user64@mail.com,9800000064,2024-09-20,Delhi,,inactive
65,Customer 65,unknown@email.com,,2024-04-20,Unknown,,active
66,Unknown Customer,unknown@email.com,,2025-03-09,Delhi,,active
68,Customer 68,unknown@email.com,,2024-05-23,Unknown,,active
69,Unknown Customer,unknown@email.com,,2024-07-06,Mumbai,,unknown
70,Customer 70,user70@mail.com,+91-9800000070,2024-06-19,Delhi,,active
71,customer 71,unknown@email.com,,2024-11-11,Unknown,,unknown
72,Unknown Customer,unknown@email.com,,2024-07-07,Bengaluru,,inactive
73,Customer 73,unknown@email.com,,2025-02-04,Unknown,,active
74,customer 74,unknown@email.com,9800000074,2024-05-04,Delhi,,active
76,customer 76,unknown@email.com,,2024-06-09,Mumbai,,unknown
77,Unknown Customer,unknown@email.com,,2024-05-06,Bengaluru,,active
78,Unknown Customer,unknown@email.com,9800000078,2024-09-07,Bengaluru,,inactive
79,Unknown Customer,unknown@email.com,+91-9800000079,2024-10-05,Delhi,,inactive
80,customer 80,unknown@email.com,+91-9800000080,2024-12-31,Delhi,,inactive
81,Unknown Customer,user81@mail.com,9800000081,2024-05-18,Unknown,,active
82,customer 82,user82@mail.com,+91-9800000082,2024-09-28,Mumbai,,active
83,Unknown Customer,unknown@email.com,+91-9800000083,2024-03-11,Delhi,,inactive
84,Unknown Customer,unknown@email.com,9800000084,2024-05-27,Bengaluru,,active
85,Customer 85,user85@mail.com,+91-9800000085,2024-03-30,Delhi,,active
86,Unknown Customer,unknown@email.com,9800000086,2025-03-22,Bengaluru,,active
87,Customer 87,unknown@email.com,,2024-11-24,Unknown,,active
88,Unknown Customer,unknown@email.com,9800000088,2024-06-18,Mumbai,,inactive
89,Customer 89,unknown@email.com,,2025-01-22,Mumbai,,unknown
90,Unknown Customer,unknown@email.com,,2024-12-08,Delhi,,active
91,customer 91,user91@mail.com,,2024-08-16,Bengaluru,,inactive
92,Customer 92,unknown@email.com,,2024-02-01,Unknown,,inactive
93,Unknown Customer,unknown@email.com,+91-9800000093,2024-05-31,Bengaluru,,active
94,Unknown Customer,user94@mail.com,,2024-11-06,Bengaluru,,unknown
95,customer 95,user95@mail.com,+91-9800000095,2024-09-27,Unknown,,active
96,Customer 96,user96@mail.com,9800000096,2024-03-17,Mumbai,,unknown
97,customer 97,unknown@email.com,+91-9800000097,2024-08-16,Delhi,,active
98,Unknown Customer,user98@mail.com,,2024-06-06,Unknown,,inactive
100,Customer 100,unknown@email.com,+91-9800000100,2024-04-02,Mumbai,,inactive
101,Unknown Customer,unknown@email.com,,2024-12-15,Unknown,,inactive
102,Unknown Customer,user102@mail.com,9800000102,2025-01-22,Delhi,,inactive
103,Unknown Customer,unknown@email.com,9800000103,2024-06-26,Mumbai,,active
104,Customer 104,user104@mail.com,,2024-01-09,Mumbai,,active
105,Customer 105,unknown@email.com,+91-9800000105,2024-01-23,Delhi,,active
106,Customer 106,user106@mail.com,,2025-01-09,Unknown,,unknown
107,Unknown Customer,user107@mail.com,,2024-12-04,Unknown,,inactive
108,Customer 108,user108@mail.com,,2024-01-25,Bengaluru,,unknown
109,Unknown Customer,unknown@email.com,9800000109,2024-04-04,Unknown,,active
110,Unknown Customer,user110@mail.com,,2024-10-14,Delhi,,unknown
111,Unknown Customer,user111@mail.com,,2024-11-27,Delhi,,inactive
112,customer 112,user112@mail.com,,2024-11-05,Unknown,,active
113,customer 113,unknown@email.com,9800000113,2024-06-19,Bengaluru,,active
114,Customer 114,unknown@email.com,9800000114,2024-12-26,Mumbai,,active
115,Unknown Customer,unknown@email.com,,2024-07-02,Bengaluru,,inactive
116,Unknown Customer,unknown@email.com,+91-9800000116,2025-01-04,Delhi,,active
117,Unknown Customer,user117@mail.com,9800000117,2024-01-09,Bengaluru,,inactive
118,Unknown Customer,user118@mail.com,,2024-05-05,Delhi,,inactive
119,Unknown Customer,unknown@email.com,,2025-02-11,Bengaluru,,active
120,Unknown Customer,user120@mail.com,+91-9800000120,2025-03-05,Delhi,,active
